STT;Name;English Name;image;Calories;Chất đạm;Chất béo;Carbohydrate;Vitamin A;Potassium;MUFA+PUFA;Canxi;Sắt;Kẽm;Natri;Cholesterol;Magie;Beta-caroten;Vitamin C;Sodium;Transfat
59;Bánh gối 3 cái;(Three fried pillow cakes);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_41.webp;573.8;16.1;25.3;70.4;103.5;;;117.5;6.5;3.3;352.2;100.0;163.9;804.8;17.0;;
60;Bánh gai;(Black sticky rice cake);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_40.webp;175.4;3.3;1.8;36.6;;;;167.7;8.3;0.4;;;;;;;
61;Bánh đúc;(Plain rice cake);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_39.webp;193.7;4.6;1.2;41.1;;;;150.0;1.2;;;;;;;;
62;Bánh đa;(Sesame rice cracker);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_38.webp;818.1;25.9;7.3;162.2;;;;;;;;;;;;;
63;Bánh dày ngọt;(Sweet sticky rice cake);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_37.webp;374.9;9.6;1.4;81.1;0.3;;;23.3;1.6;1.7;2.7;;54.7;4.0;0.5;;
64;Bánh dày giò;(Sticky rice cake with pork sausage);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_36.webp;290.3;16.6;3.9;47.1;;;;10.0;0.8;1.4;1.9;23.9;10.6;;;;
65;Bánh dày;(Sticky rice cake);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_34.webp;222.7;7.0;1.1;46.1;0.3;;;15.6;1.2;1.3;2.3;;39.1;3.4;0.5;;
66;Bánh chưng rán;(Fried square sticky rice cake);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_33.webp;416.0;15.0;5.5;76.6;1.1;;;51.6;2.5;1.9;126.8;7.4;107.0;10.2;1.4;;
67;Bánh chưng rán;(Fried square sticky rice cake);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_32.webp;374.5;14.3;4.8;68.4;9.3;;;54.7;2.8;1.8;900.2;6.5;99.0;107.1;7.3;;
68;Bánh chuối;(Banana cake);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_31.webp;177.1;2.0;9.5;20.9;2.0;;;12.2;0.6;0.5;11.2;;38.8;16.2;3.7;;
69;Bánh chay;(Sweet mung bean glutinous rice balls);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_30.webp;200.5;2.8;5.6;34.8;0.1;;;28.4;4.5;1.1;4.8;;36.7;0.9;0.4;;
70;Bánh cuốn chả;(Steamed rice rolls with pork sausage);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_29.webp;492.3;26.1;17.3;58.1;1.2;;;55.2;5.6;3.2;6.4;;30.4;4.9;3.0;;
71;Bánh cuốn;(Steamed rice rolls);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_28.webp;572.3;27.5;20.1;70.4;82.9;;;116.5;6.1;3.1;1085.6;178.6;54.4;218.7;28.3;;
72;Bánh bột lọc;(Tapioca dumplings);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_27.webp;366.6;8.6;18.4;41.7;58.8;;;47.2;1.2;0.2;110.5;13.5;22.2;622.4;9.9;;
73;Cháo sườn;(Pork rib porridge);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_26.webp;319.7;14.3;11.1;40.6;29.6;;;32.1;1.0;1.8;153.2;22.9;23.0;355.6;4.1;;
74;Cháo trai không quẩy;(Clam porridge without fried dough sticks);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_25.webp;253.7;12.5;3.1;43.9;153.1;;;1210.7;3.6;3.3;99.7;57.8;27.8;1.2;8.2;;
